"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"OII","Oceaneering International, Inc.","20.45","2014925514.25","n/a","n/a","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/oii",
"OIS","Oil States International, Inc.","31.4","1882711689.4","n/a","2001","Energy","Metal Fabrications","https://www.nasdaq.com/symbol/ois",
"ROYT","Pacific Coast Oil Trust","2.17","83725452.86","n/a","2012","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/royt",
"PHX","Panhandle Royalty Company","19.4","324153824","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/phx",
"PARR","Par Pacific Holdings, Inc.","18.08","825801179.52","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/parr",
"PKD","Parker Drilling Company","0.5906","82223256.4032","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/pkd",
"PE","Parsley Energy, Inc.","29.31","9232573676.76","n/a","2014","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/pe",
"PTEN","Patterson-UTI Energy, Inc.","20.01","4447950303.72","n/a","1993","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/pten",
"PBF","PBF Energy Inc.","36.37","4025153660.46","n/a","2012","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/pbf",
"PBFX","PBF Logistics LP","19.25","806588629","n/a","2014","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/pbfx",
"PDCE","PDC Energy, Inc.","53.17","3507378935.58","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/pdce",
"BTU","Peabody Energy Corporation","36.75","4648875000","n/a","2017","Energy","Coal Mining","https://www.nasdaq.com/symbol/btu",
"PED","Pedevco Corp.","0.3394","2470409.1076","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ped",
"PBA","Pembina Pipeline Corp.","32.02","16117531357.12","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/pba",
"PGH","Pengrowth Energy Corporation","0.7292","405519437.9132","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/pgh",
"PVAC","Penn Virginia Corporation","40.96","616784281.6","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/pvac",
"PBT","Permian Basin Royalty Trust","9.7","452105321.2","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/pbt",
"PZE","Petrobras Argentina S.A.","11.4","2301929974.8","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/pze",
"PTR","PetroChina Company Limited","72.52","132726813100.56","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ptr",
"PBR","Petroleo Brasileiro S.A.- Petrobras","13.86","90398363724.9","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/pbr",
"PQ","PetroQuest Energy, Inc.","0.5195","13292675.5995","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/pq",
