"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"GLRE","Greenlight Reinsurance, Ltd.","16.05","599584119.3","n/a","2007","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/glre",
"GRIF","Griffin Industrial Realty, Inc.","37.53","187687755.18","n/a","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/grif",
"AVAL","Grupo Aval Acciones y Valores S.A.","8.31","9257762621.67","n/a","2014","Finance","Commercial Banks","https://www.nasdaq.com/symbol/aval",
"GGAL","Grupo Financiero Galicia S.A.","65.76","4178664882.24","63544174","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/ggal",
"SUPV","Grupo Supervielle S.A.","30.34","2207402567.82","n/a","2016","Finance","Commercial Banks","https://www.nasdaq.com/symbol/supv",
"GTYH","GTY Technology Holdings, Inc.","9.95","156258590.95","n/a","2016","Finance","Business Services","https://www.nasdaq.com/symbol/gtyh",
"GTYHU","GTY Technology Holdings, Inc.","10.35","0","n/a","2016","Finance","Business Services","https://www.nasdaq.com/symbol/gtyhu",
"GTYHW","GTY Technology Holdings, Inc.","1.24","0","n/a","2016","Finance","Business Services","https://www.nasdaq.com/symbol/gtyhw",
"GBNK","Guaranty Bancorp","28.35","830638953.9","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/gbnk",
"GNTY","Guaranty Bancshares, Inc.","33.31","368373824.36","n/a","2017","Finance","Major Banks","https://www.nasdaq.com/symbol/gnty",
"GFED","Guaranty Federal Bancshares, Inc.","23.4989","103906848.5475","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/gfed",
"GWGH","GWG Holdings, Inc","8.5","49415217.5","n/a","2014","Finance","Life Insurance","https://www.nasdaq.com/symbol/gwgh",
"HALL","Hallmark Financial Services, Inc.","8.92","162067729.76","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/hall",
"HBK","Hamilton Bancorp, Inc.","14.25","48607818.75","n/a","2012","Finance","Savings Institutions","https://www.nasdaq.com/symbol/hbk",
"HLNE","Hamilton Lane Incorporated","37.23","1757892335.16","n/a","2017","Finance","Investment Managers","https://www.nasdaq.com/symbol/hlne",
"HBHC","Hancock Holding Company","51.7","4407585942.1","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/hbhc",
"HBHCL","Hancock Holding Company","25.36","0","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/hbhcl",
"HAFC","Hanmi Financial Corporation","30.75","997933839.75","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/hafc",
"HONE","HarborOne Bancorp, Inc.","17.66","576116793.7","n/a","2016","Finance","Major Banks","https://www.nasdaq.com/symbol/hone",
"HGH","Hartford Financial Services Group, Inc. (The)","29.35","0","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/hgh",
"HIG","Hartford Financial Services Group, Inc. (The)","51.52","18391681058.24","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/hig",
"HWBK","Hawthorn Bancshares, Inc.","20.6386","119662788.5474","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/hwbk",
"HYAC","Haymaker Acquisition Corp.","9.59","395587500","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/hyac",
"HYACU","Haymaker Acquisition Corp.","9.95","0","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/hyacu",
"HYACW","Haymaker Acquisition Corp.","0.8241","0","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/hyacw",
"HCI","HCI Group, Inc.","38.16","360934146.72","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/hci",
"HDB","HDFC Bank Limited","98.77","85073781887.85","n/a","2001","Finance","Commercial Banks","https://www.nasdaq.com/symbol/hdb",
"HIIQ","Health Insurance Innovations, Inc.","28.9","478971982.5","n/a","2013","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/hiiq",
"HTLF","Heartland Financial USA, Inc.","53.05","1647424567.3","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/htlf",
"HNNA","Hennessy Advisors, Inc.","19.3","150649971.4","n/a","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/hnna",
"HCAC","Hennessy Capital Acquisition Corp. III","9.9","317604375","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/hcac",
"HTBK","Heritage Commerce Corp","16.48","630621521.12","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/htbk",
"HFWA","Heritage Financial Corporation","30.6","1040810437.8","n/a","n/a","Finance","Banks","https://www.nasdaq.com/symbol/hfwa",
"HRTG","Heritage Insurance Holdings, Inc.","15.16","402649660.64","n/a","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/hrtg",
"HX","Hexindai Inc.","11.31","56967904.5","5036950","2017","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/hx",
"HTH","Hilltop Holdings Inc.","23.46","2251874726.4","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/hth",
"HMNF","HMN Financial, Inc.","18.55","83553540.7","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/hmnf",
"HBCP","Home Bancorp, Inc.","43.17","405671814.09","n/a","n/a","Finance","Banks","https://www.nasdaq.com/symbol/hbcp",
"HOMB","Home BancShares, Inc.","22.81","3963693471.9","n/a","2006","Finance","Major Banks","https://www.nasdaq.com/symbol/homb",
"HFBL","Home Federal Bancorp, Inc. of Louisiana","30.0289","57396668.9109","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/hfbl",
"HMST","HomeStreet, Inc.","28.65","771874920.45","n/a","2012","Finance","Major Banks","https://www.nasdaq.com/symbol/hmst",
"HMTA","HomeTown Bankshares Corporation","11.94","68967529.5","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/hmta",
"HTBI","HomeTrust Bancshares, Inc.","26.05","494563808.75","n/a","2012","Finance","Savings Institutions","https://www.nasdaq.com/symbol/htbi",
"HOPE","Hope Bancorp, Inc.","18.19","2465181087.06","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/hope",
"HFBC","HopFed Bancorp, Inc.","14.55","96552999.75","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/hfbc",
"HMN","Horace Mann Educators Corporation","42.75","1743355559.25","n/a","1991","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/hmn",
"HBNC","Horizon Bancorp (IN)","30.01","767080178.19","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/hbnc",
