company_Symbol,year,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,growth_rate
ADTN,2012,8.075,64621.02,51.02,9.05,11.76,0.73,1.28,6.83,5.93,-13.47,-70.3,-65.89,-65.09,-46.97,1.95,50.34,12.05,21.88,4.18,3.05,0.07,46.26,42.97,7.89,7.98,0.73,0.382292733
ALSK,2016,4.866666667,74497.901,54.98,8.74,1.65,0.5,2.8,1.54,3.43,-2.56,nan,-81.58,-80,nan,17.76,13.36,10.04,64.24,1.33,1.04,1.13,40.45,53.32,9.02,0.62,0.5,0.634146341
ALSK,2015,5.266666667,72482.854,51.84,-0.67,9.92,0.36,3.03,9,5.45,-26.06,nan,nan,nan,nan,20.82,16.35,12.86,66.97,1.27,1.03,1.21,44,67.92,8.3,0.64,0.36,-0.062857143
ALSK,2014,6.175,69710.435,42.52,-0.03,-1.45,0.4,6.04,-2.07,3.13,-9.76,nan,nan,nan,-99.84,16.27,23.01,12.01,83.44,1.92,0.64,3.1,37.66,81.83,9.69,0.89,0.4,-0.022346369
ALSK,2013,7.358333333,66766.067,53.2,9.29,61.57,0.51,5.62,317.56,33.47,-5.14,-46.53,798.28,622.07,-23.28,13.81,13.66,12.49,82.22,1.09,0.83,3.31,38.59,89.67,9.46,0.91,0.51,-0.155660377
ALSK,2012,8.075,64621.02,59.64,16.46,6.31,0.6,nan,nan,nan,5.3,-3.86,3588.35,nan,-18.77,16.02,13.95,14.15,105.64,0.99,0.67,nan,38.05,50.09,9.59,0.9,0.6,0.092783505
AMOV,2016,4.866666667,74497.901,50.27,11.24,2.41,0.69,7.25,5.39,3.44,9.08,-22.51,-75.33,-75,564.58,15.89,22.57,32.35,85.62,0.73,0.61,2.99,67.82,149.52,5.38,1.53,0.69,0.382926829
AMOV,2015,5.266666667,72482.854,52.98,15.82,6.28,0.69,11.55,23.63,6.62,5.42,-12.4,-24.04,-22.39,-87.21,16.96,27.1,34.1,91,0.83,0.61,5.02,61.69,153.56,5.92,1.53,0.69,-0.120800572
AMOV,2014,6.175,69710.435,54.43,18.45,10.28,0.74,6.93,23.86,8.55,7.91,1.5,-38.16,-34.31,43.89,17.16,22.56,30.85,84.99,0.76,0.56,2.96,58.83,150.22,6.2,1.55,0.74,-0.367540687
AMOV,2013,7.358333333,66766.067,54.42,19.62,13.4,0.77,5.07,29.6,13,1.42,1.13,-18.39,-15,-14.03,15.49,23.08,26.92,80.11,0.86,0.65,2.29,56.9,139.92,6.41,1.57,0.77,-0.051457976
AMOV,2012,8.075,64621.02,55.99,21.25,17.76,0.8,3.33,31.13,15.03,16.5,1.64,10.36,14.29,6.61,16.75,20.83,25.45,69.62,0.83,0.66,1.34,57.03,120.1,6.4,1.6,0.8,0.007343413
APLP,2016,4.866666667,74497.901,62.76,21.25,-1.66,0.29,3.65,-1.97,2.9,-14.38,-23.86,nan,nan,1159.48,11.09,3.69,2.24,100,2.27,2.27,2.57,50.35,12.19,7.25,0.32,0.29,-0.257481297
APLP,2015,5.266666667,72482.854,60.64,23.89,-12.64,0.33,3.66,-16.22,-1.33,13.04,16.88,nan,nan,nan,34.9,4.27,2.04,100,2.88,2.88,2.59,45.75,8.44,7.98,0.38,0.33,0.303005686
APLP,2014,6.175,69710.435,59.03,23.11,10.85,0.34,2.94,7.6,6.31,24.63,36.37,-3.6,-24.58,nan,52.31,4.08,1.64,100,3.76,3.76,1.9,41.49,nan,8.8,0.41,0.34,-0.430619796
APLP,2013,7.358333333,66766.067,56.66,21.12,14.06,0.37,2.31,10.88,7.47,20.31,48.86,509.22,742.86,nan,36.04,4.63,2.13,100,3.82,3.82,1.28,35.51,nan,10.28,0.44,0.37,-0.284816408
