BLNK,2013,7.358333333333333333333333333,66766.067,-604.69,nan,nan,0.04,nan,nan,nan,80.73,nan,nan,nan,nan,244.66,41.7,98.33,101.8,0.42,0.35,nan,169.04,316.46,2.16,0.11,0.04,-0.672
BLNK,2012,8.075,64621.020,22.85,nan,nan,0.15,1.67,-488.6,-441.28,314.3,nan,nan,nan,nan,276.04,32.87,34.86,39.76,0.94,0.44,0.04,nan,674.47,nan,0.31,0.15,-0.21875
CASY,2016,4.866666666666666666666666667,74497.901,22.66,5.46,4.9,2.74,2.52,23.07,13.81,-8.31,20.3,25.11,24.03,nan,5.52,11.95,14.22,60.26,0.84,0.3,0.76,1.29,15.5,283.12,3.33,2.74,-0.05837819650067294751009421265
CASY,2015,5.266666666666666666666666667,72482.854,18.54,4.16,3.63,3.26,2.82,22.65,12.54,-0.93,31.51,34.28,33.53,nan,4.64,12.36,14.77,64.57,0.84,0.25,0.96,1.14,13.77,320.63,4.09,3.26,-0.01303445413034454130344541303
CASY,2014,6.175,69710.435,15.59,2.98,2.47,3.67,3.18,20.35,11.02,8.13,16.95,21.59,20.98,nan,3.94,16.49,15.83,68.61,1.04,0.44,1.19,1.09,13.36,335.48,4.67,3.67,0.3335916740478299379982285208
CASY,2013,7.358333333333333333333333333,66766.067,14.77,2.74,2.26,3.86,3.29,19.96,10.56,3.76,-3.9,-5.28,-5.92,nan,4.21,13.75,20.05,69.64,0.69,0.18,1.08,1.07,13.14,340.42,4.9,3.86,0.2856939501779359430604982206
CASY,2012,8.075,64621.020,14.31,3.08,2.58,4.13,3.51,25.67,12.27,24.0,14.46,23.43,36.94,nan,3.45,15.74,17.28,71.49,0.91,0.31,1.32,1.09,13.02,333.91,5.38,4.13,0.3229755178907721280602636535
CENT,2016,4.866666666666666666666666667,74497.901,30.24,7.17,3.81,1.56,2.19,8.41,7.82,10.8,32.9,39.23,35.94,89.25,1.51,58.97,16.7,54.32,3.53,1.45,0.71,40.77,27.36,8.95,11.39,1.56,0.1990141712877387553912507702
CENT,2015,5.266666666666666666666666667,72482.854,29.57,5.98,3.12,1.45,2.25,6.46,6.25,2.89,75.59,263.14,255.56,-40.14,1.33,57.62,15.6,55.43,3.7,1.44,0.79,44.35,27.83,8.23,10.01,1.45,1.400887573964497041420118343
CENT,2014,6.175,69710.435,28.3,3.5,0.86,1.39,2.37,1.85,4.17,-2.98,17.44,nan,nan,nan,1.07,58.46,15.09,57.74,3.88,1.63,0.93,44.13,30.46,8.27,9.02,1.39,0.5398633257403189066059225513
CENT,2013,7.358333333333333333333333333,66766.067,28.05,2.89,-0.21,1.43,2.48,-0.41,2.8,-2.73,-35.68,nan,nan,nan,1.52,57.93,15.72,59.59,3.69,1.25,1.01,43.78,35.32,8.34,8.7,1.43,0.2780203784570596797671033479
CENT,2012,8.075,64621.020,30.24,4.38,2.05,1.52,2.48,4.6,5.16,4.38,-12.63,-25.24,-12.0,154.96,2.33,56.7,17.98,59.61,3.16,1.33,0.97,42.71,37.43,8.55,9.25,1.52,-0.3143712574850299401197604790
CENTA,2016,4.866666666666666666666666667,74497.901,30.24,7.17,3.81,1.56,2.19,8.41,7.82,10.8,32.9,39.23,35.94,89.25,1.51,58.97,16.7,54.32,3.53,1.45,0.71,40.77,27.36,8.95,11.39,1.56,0.2203883495145631067961165049
CENTA,2015,5.266666666666666666666666667,72482.854,29.57,5.98,3.12,1.45,2.25,6.46,6.25,2.89,75.59,263.14,255.56,-40.14,1.33,57.62,15.6,55.43,3.7,1.44,0.79,44.35,27.83,8.23,10.01,1.45,1.272058823529411764705882353
CENTA,2014,6.175,69710.435,28.3,3.5,0.86,1.39,2.37,1.85,4.17,-2.98,17.44,nan,nan,nan,1.07,58.46,15.09,57.74,3.88,1.63,0.93,44.13,30.46,8.27,9.02,1.39,0.4240837696335078534031413613
CENTA,2013,7.358333333333333333333333333,66766.067,28.05,2.89,-0.21,1.43,2.48,-0.41,2.8,-2.73,-35.68,nan,nan,nan,1.52,57.93,15.72,59.59,3.69,1.25,1.01,43.78,35.32,8.34,8.7,1.43,0.4148148148148148148148148148
CENTA,2012,8.075,64621.020,30.24,4.38,2.05,1.52,2.48,4.6,5.16,4.38,-12.63,-25.24,-12.0,154.96,2.33,56.7,17.98,59.61,3.16,1.33,0.97,42.71,37.43,8.55,9.25,1.52,-0.3553008595988538681948424069
CTHR,2016,4.866666666666666666666666667,74497.901,30.06,-13.09,-13.5,0.69,1.16,-12.36,-12.35,-5.2,nan,nan,nan,nan,1.47,51.04,11.38,13.92,4.49,2.22,nan,41.59,66.56,8.77,19.4,0.69,0.2272727272727272727272727273
CTHR,2015,5.266666666666666666666666667,72482.854,26.27,-19.71,-19.75,0.64,1.15,-22.68,-22.66,19.99,nan,nan,nan,nan,1.84,46.78,10.47,13.03,4.47,1.98,nan,55.54,59.93,6.57,17.71,0.64,-0.01785714285714285714285714286
CTHR,2014,6.175,69710.435,29.75,-35.23,-35.28,0.45,1.12,-25.32,-25.32,-9.99,nan,nan,nan,nan,2.34,45.58,8.15,10.52,5.59,2.27,nan,112.14,70.48,3.25,14.34,0.45,-0.3913043478260869565217391304
CTHR,2013,7.358333333333333333333333333,66766.067,48.75,-5.2,-5.48,0.47,1.09,-2.26,-2.29,26.89,nan,nan,nan,nan,3.2,44.99,7.22,7.86,6.23,2.84,nan,117.77,72.29,3.1,16.45,0.47,-0.6356435643564356435643564356
CTHR,2012,8.075,64621.020,55.58,1.17,1.46,0.4,1.06,8.13,8.05,40.02,-79.87,179.16,175.0,nan,4.61,51.6,4.82,5.46,10.7,7.1,nan,115.46,58.08,3.16,14.17,0.4,0.2882653061224489795918367347
CJJD,2016,4.866666666666666666666666667,74497.901,19.66,-0.03,0.61,1.47,3.21,2.45,1.28,15.83,nan,-47.8,-50.0,nan,0.28,75.53,67.86,68.88,1.11,0.39,nan,35.43,83.1,10.3,14.14,1.47,-0.2954545454545454545454545455
CJJD,2015,5.266666666666666666666666667,72482.854,16.18,2.22,1.19,1.46,3.46,5.44,3.08,16.24,nan,nan,nan,nan,3.98,71.06,70.56,71.09,1.01,0.38,nan,37.91,86.27,9.63,9.33,1.46,-0.07853403141361256544502617801
CDXC,2016,4.866666666666666666666666667,74497.901,47.96,-13.41,-16.39,1.39,1.98,-38.4,-23.93,21.79,nan,nan,nan,nan,7.96,79.67,44.9,49.5,1.77,0.84,0.03,56.52,149.56,6.46,10.94,1.39,0.7764350453172205438066465257
CDXC,2015,5.266666666666666666666666667,72482.854,42.13,-11.55,-14.72,1.45,3.55,-59.77,-24.42,43.76,nan,nan,nan,nan,3.62,88.26,51.13,71.87,1.73,0.83,0.72,36.12,130.48,10.1,14.42,1.45,-0.09562841530054644808743169399
CDXC,2014,6.175,69710.435,34.78,-33.86,-35.19,1.49,2.9,-111.51,-80.82,50.71,nan,nan,nan,nan,1.65,85.27,42.91,65.56,1.99,1.18,0.62,32.72,89.4,11.16,13.16,1.49,0.3863636363636363636363636364
CDXC,2013,7.358333333333333333333333333,66766.067,30.84,-42.73,-43.5,1.13,1.59,-91.51,-85.14,-12.48,nan,nan,nan,nan,2.23,64.43,31.58,36.96,2.04,1.17,0.05,49.92,126.44,7.31,10.16,1.13,-0.4210526315789473684210526316
CDXC,2012,8.075,64621.020,19.6,-100.22,-100.45,1.52,2.26,-355.85,-331.41,43.12,nan,nan,nan,nan,0.66,87.74,52.72,55.8,1.66,0.52,0.04,41.88,111.01,8.72,11.01,1.52,1.867924528301886792452830189
CPRT,2016,4.866666666666666666666666667,74497.901,42.93,32.04,31.21,0.74,2.13,31.1,18.87,10.68,18.02,23.01,32.34,nan,13.71,30.26,16.9,53.06,1.79,1.58,0.73,23.05,33.9,15.83,1.67,0.74,0.5592057761732851985559566787
CPRT,2015,5.266666666666666666666666667,72482.854,42.18,30.05,28.97,0.69,1.87,22.34,15.86,-1.5,13.28,23.0,22.79,267.0,6.91,40.81,11.84,46.42,3.45,3.18,0.61,23.24,32.97,15.71,1.65,0.69,0.4578947368421052631578947368
CPRT,2014,6.175,69710.435,40.27,26.13,23.21,0.81,1.5,20.24,14.99,11.19,7.44,-0.74,-2.16,nan,7.01,27.36,16.21,33.4,1.69,1.47,0.22,21.62,34.87,16.88,1.7,0.81,0.04109589041095890410958904110
