company_Symbol,year,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,growth_rate
MORN,2012,8.075,64621.02,62.51,22.89,23.34,0.59,1.44,13.67,13.25,4.26,8.85,9.88,14.58,-18.14,4.56,45.55,24.73,30.28,1.84,1.75,nan,63.12,nan,5.78,8.65,0.59,0.242877606
MSBF,2016,4.866666667,74497.901,nan,nan,19.01,0.03,6.31,1.55,nan,20.81,nan,162.08,150,nan,9.96,nan,nan,84.15,nan,nan,0.31,nan,nan,nan,1.52,0.03,0.253521127
MSBF,2015,5.266666667,72482.854,nan,nan,20.69,0.03,4.92,0.58,nan,3.01,nan,-41.33,-40.68,nan,2.65,nan,nan,79.67,nan,nan,0.43,nan,nan,nan,1.33,0.03,0.136
MSBF,2014,6.175,69710.435,nan,nan,23.28,0.03,8.46,2.46,nan,3.34,nan,nan,nan,-326,1.82,nan,nan,88.18,nan,nan,0.93,nan,nan,nan,1.19,0.03,0.219512195
MSBF,2013,7.358333333,66766.067,nan,nan,-13.94,0.03,8.92,-3.45,nan,-10.48,nan,nan,nan,-976,1.21,nan,nan,88.79,nan,nan,0.76,nan,nan,nan,1.09,0.03,0.284461153
MSBF,2012,8.075,64621.02,nan,nan,15.04,0.03,8.5,1.22,nan,-4.69,nan,-29.6,-28.57,-763,1.48,nan,nan,88.23,nan,nan,0.49,nan,nan,nan,1.16,0.03,0.191044776
MFSF,2016,4.866666667,74497.901,nan,nan,27.67,0.04,11.09,9.56,nan,6.43,nan,7.98,8.64,nan,3.25,nan,nan,90.98,nan,nan,1.74,nan,nan,nan,2.44,0.04,0.164652568
MFSF,2015,5.266666667,72482.854,nan,nan,28.64,0.04,10.79,9.27,nan,5.43,nan,13.35,10.96,nan,4.01,nan,nan,90.73,nan,nan,1.72,nan,nan,nan,1.94,0.04,0.334677419
MFSF,2014,6.175,69710.435,nan,nan,26.1,0.04,11.16,9.05,nan,4.71,nan,17.59,33.95,nan,2.29,nan,nan,91.05,nan,nan,1.59,nan,nan,nan,1.83,0.04,0.13345521
MFSF,2013,7.358333333,66766.067,nan,nan,24.8,0.04,12.46,6.33,nan,-3.91,nan,26.97,32.93,nan,1.88,nan,nan,91.98,nan,nan,1.38,nan,nan,nan,1.71,0.04,0.277291302
MFSF,2012,8.075,64621.02,nan,nan,18.31,0.04,10.2,4.26,nan,-2.14,nan,107.96,310,nan,3.77,nan,nan,90.19,nan,nan,0.62,nan,nan,nan,1.76,0.04,0.498687664
MVBF,2016,4.866666667,74497.901,nan,nan,15.49,0.06,10.97,10.35,nan,15.59,nan,89.44,72.37,nan,1.94,nan,nan,89.74,nan,nan,0.96,nan,nan,nan,3.36,0.06,0.5703125
MVBF,2015,5.266666667,72482.854,nan,nan,13.59,0.06,14.07,6.52,nan,37.42,nan,227.85,245.45,nan,3.08,nan,nan,91.71,nan,nan,2.2,nan,nan,nan,2.88,0.06,-0.022900763
MVBF,2014,6.175,69710.435,nan,nan,5.73,0.05,11.93,1.96,nan,10.22,nan,-48.28,-61.4,nan,19.33,nan,nan,90.14,nan,nan,1.44,nan,nan,nan,2.56,0.05,-0.126084056
MVBF,2013,7.358333333,66766.067,nan,nan,8.88,0.06,11.54,5.44,nan,96.35,nan,-3.55,-36.31,nan,13.19,nan,nan,90.47,nan,nan,1.27,nan,nan,nan,3.48,0.06,-0.096987952
MVBF,2012,8.075,64621.02,nan,nan,23.27,0.04,12.31,8.21,nan,40.89,nan,54.26,47.93,nan,15.39,nan,nan,90.71,nan,nan,1.62,nan,nan,nan,2.62,0.04,0.383333333
NDAQ,2016,4.866666667,74497.901,61.46,25.8,3.67,0.28,2.61,1.96,2.43,8.87,5.99,-74.77,-74.4,652,3.62,32.23,28.85,61.63,1.12,0.26,0.66,36.7,68.88,9.95,10.82,0.28,0.144666269
NDAQ,2015,5.266666667,72482.854,61.42,26.51,18.51,0.28,2.11,7.51,6.23,-2.77,8.02,3.38,4.6,91,3.91,27.69,24.82,52.71,1.12,0.28,0.42,37.81,79.08,9.65,11.07,0.28,0.153859378
NDAQ,2014,6.175,69710.435,59.06,23.86,16.97,0.28,2.09,6.91,5.82,9,16.13,7.53,6.22,nan,4,28.13,24.66,52.07,1.14,1.07,0.4,40.78,68.9,8.95,12.5,0.28,0.212885738
NDAQ,2013,7.358333333,66766.067,59.02,22.39,18.69,0.3,2.03,6.76,5.63,2.95,-2.57,9.38,10.29,-947,3.58,25.15,22.26,50.83,1.13,0.35,0.42,41.26,55.47,8.85,13.41,0.3,0.205025126
NDAQ,2012,8.075,64621.02,53.65,23.65,17.56,0.27,1.75,6.91,5.71,-9.28,0.55,-9.04,-5.12,nan,2.79,16.34,10.15,42.96,1.61,1.14,0.37,37.51,42.12,9.73,15.44,0.27,0.592637055
NKSH,2016,4.866666667,74497.901,8.39,2,-2.15,1.78,11.48,-40.14,0.4,1.42,38.45,nan,nan,nan,12.8,27.58,67.49,91.29,0.41,0.37,1.79,48.85,91.82,7.47,3.12,1.78,0.046029919
NKSH,2015,5.266666667,72482.854,8,1.64,-1.04,nan,9.16,nan,nan,nan,nan,nan,nan,nan,10.43,25.01,69.29,89.08,0.36,0.32,0.99,nan,nan,nan,nan,nan,0.222566123
NKSH,2014,6.175,69710.435,6.26,-0.35,-3.6,2.11,22.15,-18.9,-0.28,-16.36,-45.42,nan,nan,82.14,nan,35.2,83.25,95.48,0.42,0.15,1.75,33.76,77.98,10.81,3.56,2.11,0.169463639
NKSH,2013,7.358333333,66766.067,7.77,2.71,0.62,2.46,21.51,11.75,2.94,-8.48,-30.58,-47.92,nan,-65.42,nan,42.47,81.78,95.35,0.52,0.32,2.16,38.67,70.12,9.44,4.34,2.46,-0.176199512
NKSH,2012,8.075,64621.02,7.98,3.57,0.93,2.59,21.77,27.21,2.2,-25.26,1918.96,nan,nan,36.24,nan,41.37,86.88,95.41,0.48,0.31,1.1,46.62,69.55,7.83,5.43,2.59,0.138931769
NCOM,2016,4.866666667,74497.901,nan,nan,35.51,0.04,8.49,8.13,nan,38.68,nan,85.87,57.84,nan,3.51,nan,nan,88.18,nan,nan,0.14,nan,nan,nan,2.56,0.04,0.083445491
NCOM,2015,5.266666667,72482.854,nan,nan,48.19,0.04,8.43,5.68,nan,74.62,nan,77.77,9.68,nan,5.07,nan,nan,88.08,nan,nan,0.11,nan,nan,nan,1.98,0.04,0.483033932
NGHC,2016,4.866666667,74497.901,nan,nan,6.04,0.55,4.92,10.69,nan,41.36,nan,21.06,7.87,-430,0.97,nan,nan,73.75,nan,nan,0.48,nan,nan,nan,45.1,0.55,-0.214085634
NGHC,2015,5.266666667,72482.854,nan,nan,6.52,0.5,4.3,11.16,nan,34.87,nan,39.13,18.69,nan,0.9,nan,nan,72.68,nan,nan,0.38,nan,nan,nan,68.32,0.5,0.143183898
NGHC,2014,6.175,69710.435,nan,nan,6.84,0.51,4.42,12.13,nan,99.83,nan,141.66,81.36,nan,0.82,nan,nan,76.06,nan,nan,0.3,nan,nan,nan,61.95,0.51,0.174637292
NGHCN,2016,4.866666667,74497.901,nan,nan,6.04,0.55,4.92,10.69,nan,41.36,nan,21.06,nan,-430,0.97,nan,nan,73.75,nan,nan,0.48,nan,nan,nan,45.1,0.55,0.00160064
NGHCO,2016,4.866666667,74497.901,nan,nan,6.04,0.55,4.92,10.69,nan,41.36,nan,21.06,nan,-430,0.97,nan,nan,73.75,nan,nan,0.48,nan,nan,nan,45.1,0.55,0.009673519
NGHCO,2015,5.266666667,72482.854,nan,nan,6.52,0.5,4.3,11.16,nan,34.87,nan,39.13,nan,nan,0.9,nan,nan,72.68,nan,nan,0.38,nan,nan,nan,68.32,0.5,-0.018591772
NGHCP,2016,4.866666667,74497.901,nan,nan,6.04,0.55,4.92,10.69,nan,41.36,nan,21.06,nan,-430,0.97,nan,nan,73.75,nan,nan,0.48,nan,nan,nan,45.1,0.55,0.007177033
NGHCP,2015,5.266666667,72482.854,nan,nan,6.52,0.5,4.3,11.16,nan,34.87,nan,39.13,nan,nan,0.9,nan,nan,72.68,nan,nan,0.38,nan,nan,nan,68.32,0.5,-0.025641026
NGHCP,2014,6.175,69710.435,nan,nan,6.84,0.51,4.42,12.13,nan,99.83,nan,141.66,nan,nan,0.82,nan,nan,76.06,nan,nan,0.3,nan,nan,nan,61.95,0.51,0.016587678
NHLD,2015,5.266666667,72482.854,nan,nan,0.29,2.54,1.4,0.64,nan,-11.52,nan,-98.47,-98.67,nan,0.16,nan,nan,28.6,nan,nan,nan,nan,nan,nan,222.72,2.54,-0.04964539
NHLD,2014,6.175,69710.435,nan,nan,4.25,3.91,1.46,61.84,nan,44.7,nan,1088.97,650,nan,0.11,nan,nan,31.28,nan,nan,nan,nan,nan,nan,307.35,3.91,-0.373333333
NHLD,2013,7.358333333,66766.067,nan,nan,1.4,5.52,1.87,46.69,nan,8.16,nan,nan,nan,nan,0.19,nan,nan,46.49,nan,nan,0.01,nan,nan,nan,229.64,5.52,-0.210526316
NSEC,2016,4.866666667,74497.901,nan,nan,6.12,0.45,3.09,6.59,nan,4.44,nan,-34.79,-34.76,nan,0.14,nan,nan,67.66,nan,nan,nan,nan,nan,nan,34.97,0.45,-0.078873239
NSEC,2015,5.266666667,72482.854,nan,nan,9.91,0.44,3.3,10.72,nan,-0.4,nan,-38.33,-38.49,nan,0.22,nan,nan,69.69,nan,nan,0.39,nan,nan,nan,32.36,0.44,0.163934426
NSEC,2014,6.175,69710.435,nan,nan,14.56,0.46,3.39,19.98,nan,5.15,nan,34.61,33.33,nan,0.5,nan,nan,70.48,nan,nan,0.44,nan,nan,nan,31.45,0.46,0.133828996
NSEC,2013,7.358333333,66766.067,nan,nan,11.97,0.45,4,17.76,nan,2.7,nan,nan,nan,nan,0.12,nan,nan,75.02,nan,nan,0.62,nan,nan,nan,27.37,0.45,0.351758794
NSEC,2012,8.075,64621.02,nan,nan,-18.59,0.44,4.49,-19.55,nan,-4.09,nan,nan,nan,nan,0.51,nan,nan,77.73,nan,nan,0.84,nan,nan,nan,24.21,0.44,0.16374269
NWLI,2016,4.866666667,74497.901,nan,nan,22.4,0.06,6.91,6.05,nan,15.7,nan,2.54,2.54,nan,7.36,nan,nan,85.52,nan,nan,nan,nan,nan,nan,nan,0.06,0.065057915
NAVI,2016,4.866666667,74497.901,nan,nan,43.9,0.02,32.75,17.75,nan,-19.18,nan,-31.7,-18.77,nan,nan,nan,nan,96.95,nan,nan,30.38,nan,nan,nan,nan,0.02,-0.189287888
NAVI,2015,5.266666667,72482.854,nan,nan,50.59,0.02,33.74,24.4,nan,-12.62,nan,-13.23,-2.97,nan,nan,nan,nan,97.04,nan,nan,31.4,nan,nan,nan,nan,0.02,0.434934498
NAVI,2014,6.175,69710.435,nan,nan,50.87,0.02,34.86,24.66,nan,-11.82,nan,-18.97,-13.78,nan,nan,nan,nan,97.13,nan,nan,32.6,nan,nan,nan,nan,0.02,-0.470152707
NBTB,2016,4.866666667,74497.901,nan,nan,36,0.04,9.71,8.73,nan,2.44,nan,2.6,4.65,-872,0.87,nan,nan,89.7,nan,nan,0.22,nan,nan,nan,4.39,0.04,-0.121298949
NBTB,2015,5.266666667,72482.854,nan,nan,37.02,0.05,9.37,8.75,nan,-1.8,nan,1.8,1.78,nan,2.23,nan,nan,89.33,nan,nan,0.26,nan,nan,nan,4.17,0.05,0.50215208
NBTB,2014,6.175,69710.435,nan,nan,39.77,0.05,9.02,8.93,nan,10.73,nan,21.58,15.75,nan,2.38,nan,nan,88.92,nan,nan,0.27,nan,nan,nan,4.26,0.05,0.061286639
NBTB,2013,7.358333333,66766.067,nan,nan,35.8,0.05,9.37,8.83,nan,17.07,nan,13.18,-9.88,nan,1.69,nan,nan,89.33,nan,nan,0.5,nan,nan,nan,4.11,0.05,0.014285714
